brand,name,description,category,product_type,cleaned_desc
nyx,Sweet Cheeks Blush Palette,"Get swept away by our drop-dead gorgeous Sweet Cheeks Blush Palette. This collection features eight highly pigmented and buttery-smooth colors that flawlessly suit any skin tone. Perfect for everyone from the pro on the go to the budding beauty guru, our irreplaceable set brings together a variety of exclusive shades in both matte and shimmery finishes. It’s true--we’ve got a serious blush crush!",,blush,get swept away drop dead gorgeous sweet cheek blush palette collection feature eight highly pigmented buttery smooth color flawlessly suit skin tone perfect everyone pro go budding beauty guru irreplaceable set brings together variety exclusive shade matte shimmery finish true got serious blush crush
nyx,Cheek Contour Duo Palette,"Create natural-looking contours, sun-kissed cheeks and a gorgeous, lit-from-within glow with our new Cheek Contour Duos. Available in six silky shade combinations, each luxurious compact makes it easy to perfect your complexion on the go.",,blush,create natural looking contour sun kissed cheek gorgeous lit within glow new cheek contour duo available six silky shade combination luxurious compact make easy perfect complexion go
nyx,High Definition Blush Pro Refills,,,blush, 
nyx,Bright Idea Illuminating Stick,"Brighten things up with one of our new Bright Idea Illuminating Sticks! Available in a range of radiating hues--including four highlighters, four blushes and four bronzers--each creamy-soft shade goes on smoothly and sets right away for an instant, lit-from-within glow. Petite, portable and perfect for strobing, it’s the makeup must-have of the season.",,bronzer,brighten thing one new bright idea illuminating stick available range radiating hue including four highlighter four blush four bronzers creamy soft shade go smoothly set right away instant lit within glow petite portable perfect strobing makeup must season
nyx,Rouge Cream Blush,More deli  ous than peaches and cream? We like to think so. Our velvety smooth mineral Rouge Cream Blush offers a sheer wash of radiant color. The glorious payoff is dewy sultry and long-lasting.,,blush,deli  ous peach cream like think velvety smooth mineral rouge cream blush offer sheer wash radiant color glorious payoff dewy sultry long lasting
nyx,Mosaic Powder Blush,This medley of 9 matte and shimmery colors creates a flush of color and dazzling glow for every skin tone. Use to highlight enhance brighten and bronze. Each mosaic of color blends beautifully with magical results.,,bronzer,medley matte shimmery color creates flush color dazzling glow every skin tone use highlight enhance brighten bronze mosaic color blend beautifully magical result
nyx,Baked Blush,Baked to sheer perfection this luxurious formula is packed full of pigments to provide a natural glow and highlight to the face. Uniquely designed to be used wet or dry depending upon the makeup statement you want to make. When used dry with a brush the look is light and fresh. Want more color? No Problem! Apply wet with a makeup sponge for more intensity.,,blush,baked sheer perfection luxurious formula packed full pigment provide natural glow highlight face uniquely designed used wet dry depending upon makeup statement want make used dry brush look light fresh want color problem apply wet makeup sponge intensity
nyx,Bronzer & Blusher Combo,Get the perfect sun-kissed glow with complementing color combinations from our Bronzer/Blusher Combo. Each blush and bronzer pairing features flattering and natural-looking hues. With 5 shades to choose from it is easier than ever to achieve an impeccable Springtime and Summertime glow.,,bronzer,get perfect sun kissed glow complementing color combination bronzer blusher combo blush bronzer pairing feature flattering natural looking hue shade choose easier ever achieve impeccable springtime summertime glow
nyx,High Definition Blush,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,,blush,high definition lightweight blush blend evenly vibrant silky blush delivers beautiful flush color paraben free
nyx,Ombre Blush,"Treat your cheeks to a radiant flush of color with our Ombré Blush, a new gradient blush inspired by the ombré trend. This must-have formula features two silky colors blended into one perfectly coordinated shade combo. (It’s like they were meant for each other.)",,blush,treat cheek radiant flush color ombr blush new gradient blush inspired ombr trend must formula feature two silky color blended one perfectly coordinated shade combo like meant
nyx,Stick Blush,Add a touch of color with our creamy and extremely pigmented Stick Blush! Available in eight rich shades! Apply and receive the perfect glow every day!,,blush,add touch color creamy extremely pigmented stick blush available eight rich shade apply receive perfect glow every day
nyx,Powder Blush,Our pressed powder blush delivers sheer silky color that glides on easily blends beautifully and creates a natural glow. The formula is richly-pigmented and lasts for hours.,,bronzer,pressed powder blush delivers sheer silky color glide easily blend beautifully creates natural glow formula richly pigmented last hour
nyx,Gotcha Covered Concealer Pen  l,"Skin imperfections, beware! When it comes to covering up discoloration, our new Gotcha Covered Concealer Pen  l does NOT mess around. Available in 20 blendable shades, this luxurious concealer is a master at spot concealing.",concealer,foundation,skin imperfection beware come covering discoloration new gotcha covered concealer pen  l mess around available blendable shade luxurious concealer master spot concealing
nyx,"Conceal, Correct, Contour Palette","Color-match your skin using our perfecting and correcting palettes to conceal, correct, or contour. With six shades to choose from in each set you can cover up problem spots even out imperfections and accentuate your best features in a flash. Use these buildable colors on their own or combine them to create the ideal tone.",concealer,foundation,color match skin using perfecting correcting palette conceal correct contour six shade choose set cover problem spot even imperfection accentuate best feature flash use buildable color combine create ideal tone
nyx,Wonder Pen  l,Wonder Pen  l…the essential pen  l that fulfills all of your beauty desires. Conquer 3 critical make-up tasks with one product: CONCEAL flaws and blemishes with creamy pre  sion; LINE your lips against lipstick bleeding and fading; and BRIGHTEN your eyes along the water line. Will wonders never cease? Not with the Wonder Pen  l in your bag!,pen  l,eyeliner,wonder pen  l essential pen  l fulfills beauty desire conquer critical make task one product conceal flaw blemish creamy pre  sion line lip lipstick bleeding fading brighten eye along water line wonder never cease wonder pen  l bag
nyx,Dark   rcle Concealer,A serious solution for one of beauty’s most challenging problems! No fancy names just a product that can be counted on to do the job. The product glides on without looking thick or obvious. The subtle hint of orange counteracts the appearance of dark   rcles while natural skin-toned pigments work in unison to provide the ultimate coverage.,concealer,foundation,serious solution one beauty challenging problem fancy name product counted job product glide without looking thick obvious subtle hint orange counteracts appearance dark   rcle natural skin toned pigment work unison provide ultimate coverage
nyx,Gotcha Covered Concealer,"Gotcha Covered Concealer always has your back! Now available in 10 more gorgeous shades, our waterproof, full coverage concealer effectively covers up discolorations and imperfections without creasing or caking. Infused with coconut oil, this highly blendable concealer also leaves your face with a healthy-looking glow.",concealer,foundation,gotcha covered concealer always back available gorgeous shade waterproof full coverage concealer effectively cover discoloration imperfection without creasing caking infused coconut oil highly blendable concealer also leaf face healthy looking glow
nyx,Color Correcting Palette,Treat your face to the ultimate concealer palette in six color correcting shades. Customizable to create your ideal shade to cover imperfections the lightweight formula glides on for an ultra-smooth finish and leaves skin feeling soft and supple.,concealer,foundation,treat face ultimate concealer palette six color correcting shade customizable create ideal shade cover imperfection lightweight formula glide ultra smooth finish leaf skin feeling soft supple
nyx,Concealer Jar,"Obscure imperfections and blur away problem areas with one of our Concealer Jars. Now available in 10 more shades to accommodate an even wider range of skin tones, this creamy formula stands up to the villains of unwelcome imperfections with a vengeance.",concealer,foundation,obscure imperfection blur away problem area one concealer jar available shade accommodate even wider range skin tone creamy formula stand villain unwelcome imperfection vengeance
nyx,HD Photogenic Concealer Wand,"Now available in 12 more shades to accommodate an even wider range of skin tones, our best-selling HD Studio Photogenic Concealer effectively covers imperfections, discoloration and under-eye   rcles without ever looking cakey or obvious. The result is beautiful, natural-looking coverage you can count on.",concealer,foundation,available shade accommodate even wider range skin tone best selling hd studio photogenic concealer effectively cover imperfection discoloration eye   rcle without ever looking cakey obvious result beautiful natural looking coverage count
nyx,Tinted Moisturizer,Lightweight with just a hint of sheer color this hydrating formula makes skin feel softer and smoother. The dewy natural glow provides a “no-makeup” look and feel yet covers imperfections with a natural hydrating touch.,,foundation,lightweight hint sheer color hydrating formula make skin feel softer smoother dewy natural glow provides makeup look feel yet cover imperfection natural hydrating touch
nyx,Define & Refine Powder Foundation,This essential medium to full coverage compact features a deeper crescent of color with a hint of pearl. Blend them together to customize your look for perfection year-round.,powder,foundation,essential medium full coverage compact feature deeper crescent color hint pearl blend together customize look perfection year round
nyx,BB Cream,"Perfect the “no makeup” look with our BB Cream. Spe  ally formulated without oil, this mineral-infused formula hydrates the skin and helps the complexion appear smoother. Wear it as a primer under your foundation, or alone for a touch of lightweight color.",,foundation,perfect makeup look bb cream spe  ally formulated without oil mineral infused formula hydrate skin help complexion appear smoother wear primer foundation alone touch lightweight color
nyx,Invin  ble Fullest Coverage Foundation,"Have something to hide? We’ve got just the thing for you. Now available in five more shades to accommodate a wider range of skin tones, NYX Professional Makeup Invin  ble Fullest Coverage Foundation offers exceptional coverage with natural-looking finish. The incredibly high-pigment load has the super powers to hide even the most challenging cover-ups, including skin discolorations and more. The finished look is soft, matte, beautiful and flawless.",,foundation,something hide got thing available five shade accommodate wider range skin tone nyx professional makeup invin  ble fullest coverage foundation offer exceptional coverage natural looking finish incredibly high pigment load super power hide even challenging cover ups including skin discoloration finished look soft matte beautiful flawless
nyx,Mineral Stick Foundation,"Portable and buildable, our Mineral Stick Foundation is ideal when you’re on the move. The luxurious formula is easy to apply and extremely blendable, which allows for flawless highlighting and contouring. You can also use this versatile foundation on the entire face or in isolated areas that need a little extra attention – it’s all up to you! Our creamy foundation is now available in six new shades.",,foundation,portable buildable mineral stick foundation ideal move luxurious formula easy apply extremely blendable allows flawless highlighting contouring also use versatile foundation entire face isolated area need little extra attention creamy foundation available six new shade
nyx,Stay Matte But Not Flat Liquid Foundation,"Now available in 10 more gorgeous shades, Stay Matte But Not Flat Liquid Foundation provides full coverage with a mineral enriched matte finish and accommodates more skin tones than ever before. The oil-free and water-based formula is perfect for both day and nighttime wear.",,foundation,available gorgeous shade stay matte flat liquid foundation provides full coverage mineral enriched matte finish accommodates skin tone ever oil free water based formula perfect day nighttime wear
nyx,Stay Matte But Not Flat Powder Foundation,"Want a matte finish to help you achieve a flawless-looking complexion? Now available in 10 more gorgeous shades, our Stay Matte But Not Flat Powder Foundation provides the perfect finish to flatter more skin tones than ever before. You’ll look naturally flawless with minimal effort!",powder,foundation,want matte finish help achieve flawless looking complexion available gorgeous shade stay matte flat powder foundation provides perfect finish flatter skin tone ever look naturally flawless minimal effort
nyx,HD Studio Photogenic Foundation,"Flawless-looking skin is no longer just for celebrities and models! Now available in 20 blendable shades, our HD Studio Photogenic Foundation uses light-diffusing technology to enhance the appearance of silky-smooth skin. Achieve a picture-perfect look anytime you’re in the spotlight.",,foundation,flawless looking skin longer celebrity model available blendable shade hd studio photogenic foundation us light diffusing technology enhance appearance silky smooth skin achieve picture perfect look anytime spotlight
nyx,Hydra Touch Powder Foundation,"A weightless pressed powder that offers buildable coverage with a matte finish. Now available in five more silky shades, Hydra Touch Powder Foundation can be applied dry or wet. Our innovative formula also contains moisturizing botanical extracts to leave skin looking soft and fresh.",powder,foundation,weightless pressed powder offer buildable coverage matte finish available five silky shade hydra touch powder foundation applied dry wet innovative formula also contains moisturizing botanical extract leave skin looking soft fresh
nyx,Pro Foundation Mixer,"Your custom shade is just a Pro Foundation Mixer away! Our new shade mixers are designed to adjust the tone, shade and finish of any liquid foundation, resulting in a truly perfect match.",,foundation,custom shade pro foundation mixer away new shade mixer designed adjust tone shade finish liquid foundation resulting truly perfect match
nyx,Total Control Drop Foundation,,,foundation, 
nyx,#LOTD Lip Of The Day Liquid Lip Liner,"Bring the party to your pout with our new Lip of the Day Liquid Lip Liner! Available in ten gorgeously vivid shades, these versatile lip liners are absolute must-haves for anyone looking to take their lip artistry skills to the next level.",,lip_liner,bring party pout new lip day liquid lip liner available ten gorgeously vivid shade versatile lip liner absolute must have anyone looking take lip artistry skill next level
nyx,Slide On Lip Pen  l,"Draw out your pout with a stroke of rich color. Our Slide On Lip Pen  l is now available in 14 all-new shades—from bold blue-green to deep nude and pastel lilac. Like the much-loved eyeliner it’s named after, this waterproof lip pen  l glides on super-smooth and delivers a highly pigmented Matte finish. Line your lips or fill ’em in for defined and enriched lip color using any of these 28 incredible shades. Our Slide on Lip Pen  ls can be sharpened with a sharpener that has an opening for a small pen  l. Get your NYX Professional Makeup Sharpener",,lip_liner,draw pout stroke rich color slide lip pen  l available new shade bold blue green deep nude pastel lilac like much loved eyeliner named waterproof lip pen  l glide super smooth delivers highly pigmented matte finish line lip fill em defined enriched lip color using incredible shade slide lip pen  l sharpened sharpener opening small pen  l get nyx professional makeup sharpener
nyx,Retractable Lip Liner,"Love your lips! Create the perfect pout with our creamy, richly pigmented liner in an easy twist-up pen  l. Renowned for its staying power! Available in 19 irresistible shades.",,lip_liner,love lip create perfect pout creamy richly pigmented liner easy twist pen  l renowned staying power available irresistible shade
nyx,Suede Matte Lip Liner,"Buh-bye creamy lip colors! See ya shimmery shades! A velvety, matte lip is an absolute must and we’ve got just the goodie to help you get it done right: Suede Matte Lip Liner. Available in 36 richly pigmented hues, these pen  ls were created with colors from a few NYX Professional Makeup fan faves in mind--our Liquid Suede Cream Lipstick, Matte Lipstick and Soft Matte Lip Cream to be exact. Every shade goes on super smooth and provides the perfect base for our much-loved matte lippies.",,lip_liner,buh bye creamy lip color see ya shimmery shade velvety matte lip absolute must got goodie help get done right suede matte lip liner available richly pigmented hue pen  l created color nyx professional makeup fan faves mind liquid suede cream lipstick matte lipstick soft matte lip cream exact every shade go super smooth provides perfect base much loved matte lippies
nyx,Slim Lip Pen  l,"Slim, trim, but never prim our lip pen  ls come in a variety of dashing shades - from auburn to orange and traffic-stopping red. The buttery long-wearing lip liner formula goes on easily and resists bleeding.",,lip_liner,slim trim never prim lip pen  l come variety dashing shade auburn orange traffic stopping red buttery long wearing lip liner formula go easily resists bleeding
nyx,Luv Out Loud Liquid Lipstick,"What qualities make a person beautiful? Passion, confidence and fearlessness, to name a few. Available in six velvety-matte shades, our new Luv Out Loud Liquid Lipsticks capture the attributes we at NYX Professional Makeup find truly beautiful. Gift one, two-or all six lippies to a friend who rocks these amazing qualities and inspires you to live (and luv!) out loud.",lipstick,lipstick,quality make person beautiful passion confidence fearlessness name available six velvety matte shade new luv loud liquid lipstick capture attribute nyx professional makeup find truly beautiful gift one two six lippies friend rock amazing quality inspires live luv loud
nyx,V'Amped Up! Lip Top Coat,Cast a spell on your neutral lippies with a swipe of our wicked V'Amped Up! Lip Top Coat. Infused with shea butter and Vitamin E this glossy pen  l moisturizes while transforming light lip colors to deep vampy shades.,lipstick,lipstick,cast spell neutral lippies swipe wicked amped lip top coat infused shea butter vitamin glossy pen  l moisturizes transforming light lip color deep vampy shade
nyx,Simply Pink Lip Cream,Get ready to look seriously pretty in pink. From natural to extreme pick your favorite shade from our Simply Pink Lip Creams for a rosy and glossy finish.,lipstick,lipstick,get ready look seriously pretty pink natural extreme pick favorite shade simply pink lip cream rosy glossy finish
nyx,Simply Red Lip Cream,A classic red pout never goes out of style! Our Simply Red Lip Cream collection gives you loads of color options varying from deep bright or pure red that you can’t go wrong with.,lipstick,lipstick,classic red pout never go style simply red lip cream collection give load color option varying deep bright pure red go wrong
nyx,Simply Nude Lip Cream,Bare is beautiful with our Simply Nude Lip Creams available in six earthy shades. Swipe on this velvety and moisturizing cream to leave your lips with a subtle satin finish.,lipstick,lipstick,bare beautiful simply nude lip cream available six earthy shade swipe velvety moisturizing cream leave lip subtle satin finish
nyx,Macaron Lippies,Fantasize in color with our neon and pastel lippies in 12 of the creamiest shades you’ll ever use. Our cruelty-free formula is packed with pigment and has a satin matte finish for long-wearing resilience.,lipstick,lipstick,fantasize color neon pastel lippies creamiest shade ever use cruelty free formula packed pigment satin matte finish long wearing resilience
nyx,In Your Element Lipstick - Metal,"A match made in makeup heaven! Our new In Your Element Lipstick Metal collection pairs perfectly with our sparkle inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from metallic gold, to glossy deep-berry and metallic bronze. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click.",lipstick,lipstick,match made makeup heaven new element lipstick metal collection pair perfectly sparkle inspired eyeshadow palette three exclusive lip color come seriously rich shade finish metallic gold glossy deep berry metallic bronze encased sleek black lacquered case lipstick luxurious magnetic closure seal click
nyx,Whipped Lip & Cheek Soufflé,"Indulge your cravings with our Whipped Lip & Cheek Soufflé. Our two-in-one mousse can be used to pre  sely line lips and on the apples of your cheeks for a soft, natural flush. Achieve a deli  ous wash of color with a matte finish using this creamy and multipurpose formula.",,blush,indulge craving whipped lip cheek souffl two one mousse used pre  sely line lip apple cheek soft natural flush achieve deli  ous wash color matte finish using creamy multipurpose formula
nyx,Wicked Lippies,Take a walk on the wicked side with our jewel-toned lippies available in 12 shimmering shades. Velvety smooth with a dazzling metallic finish - these richly pigmented lipsticks will leave your lips with the ultimate spellbinding look.,lipstick,lipstick,take walk wicked side jewel toned lippies available shimmering shade velvety smooth dazzling metallic finish richly pigmented lipstick leave lip ultimate spellbinding look
nyx,Simply Vamp Lip Cream,Vamp up your look instantly with our smooth and smoldering lip creams. Wear any of these six bewitching shades to brew up a little beauty magic.,lipstick,lipstick,vamp look instantly smooth smoldering lip cream wear six bewitching shade brew little beauty magic
nyx,In Your Element Lipstick - Water,"A match made in makeup heaven! Our new In Your Element Lipstick Water collection pairs perfectly with our heat-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from metallic black-violet, to matte true nude and glossy plum. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click.",lipstick,lipstick,match made makeup heaven new element lipstick water collection pair perfectly heat inspired eyeshadow palette three exclusive lip color come seriously rich shade finish metallic black violet matte true nude glossy plum encased sleek black lacquered case lipstick luxurious magnetic closure seal click
nyx,In Your Element Lipstick - Wind,"A match made in makeup heaven! Our new In Your Element Lipstick Wind collection pairs perfectly with our breeze-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from glossy nude, to matte navy blue and metallic brown with blue pearl. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click.",lipstick,lipstick,match made makeup heaven new element lipstick wind collection pair perfectly breeze inspired eyeshadow palette three exclusive lip color come seriously rich shade finish glossy nude matte navy blue metallic brown blue pearl encased sleek black lacquered case lipstick luxurious magnetic closure seal click
nyx,In Your Element Lipstick - Fire,"A match made in makeup heaven! Our new In Your Element Lipstick Fire collection pairs perfectly with our heat-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from matte red, to glossy black and matte, warm mauve. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click.",lipstick,lipstick,match made makeup heaven new element lipstick fire collection pair perfectly heat inspired eyeshadow palette three exclusive lip color come seriously rich shade finish matte red glossy black matte warm mauve encased sleek black lacquered case lipstick luxurious magnetic closure seal click
nyx,In Your Element Lipstick - Air,,lipstick,lipstick, 
nyx,Jumbo Lip Pen  l,,,lip_liner, 
nyx,In Your Element Lipstick - Earth,"A match made in makeup heaven! Our new In Your Element Lipstick Earth collection pairs perfectly with our nature-inspired eyeshadow palette. These three exclusive lip colors come in seriously rich shades and finishes-from deep metallic copper, to glossy, deep berry and matte brown. Encased in a sleek, black lacquered case, each lipstick's luxurious magnetic closure seals with a click.",lipstick,lipstick,match made makeup heaven new element lipstick earth collection pair perfectly nature inspired eyeshadow palette three exclusive lip color come seriously rich shade finish deep metallic copper glossy deep berry matte brown encased sleek black lacquered case lipstick luxurious magnetic closure seal click
nyx,Butter Lipstick,"Treat your lips to a kiss of smooth, creamy color with our irresistible Butter Lipsticks in 12 new lus  ous shades. The formula’s delicate satin texture fused with highly saturated color delivers full-yet-lightweight coverage with a luxurious satin finish.",lipstick,lipstick,treat lip kiss smooth creamy color irresistible butter lipstick new lus  ous shade formula delicate satin texture fused highly saturated color delivers full yet lightweight coverage luxurious satin finish
nyx,Extra Creamy Round Lipstick,"Extra Creamy Round Lipstick is our classic lipstick for all occasions. The mineral-based emollient formula offers a beautiful velvet texture, saturated color and it resists wear and smudging. It’s your go-to lipstick. From Pure Nude to Pink Lyric to Chic Red, Round Lipstick is available in a jaw-dropping variety of shades.",lipstick,lipstick,extra creamy round lipstick classic lipstick occasion mineral based emollient formula offer beautiful velvet texture saturated color resists wear smudging go lipstick pure nude pink lyric chic red round lipstick available jaw dropping variety shade
nyx,Matte Lipstick,"Load your lips with plush, pigment-rich color choosing from 12 brand new shades of Matte Lipstick—our shockingly smooth lip color that glides right on and stays in place with a silky matte finish that never feels dry. Now available in a range of fresh new hues, these playful pops of color are just what your spring wardrobe needs!",lipstick,lipstick,load lip plush pigment rich color choosing brand new shade matte lipstick shockingly smooth lip color glide right stay place silky matte finish never feel dry available range fresh new hue playful pop color spring wardrobe need
nyx,Pro Lip Cream Palette,Pucker up—your lips are in for a treat! Our new Pro Lip Cream Palettes feature six expertly coordinated color combinations of intensely pigmented lip creams. Wear each shade alone or blend ’em all together for a totally customized look!,lipstick,lipstick,pucker lip treat new pro lip cream palette feature six expertly coordinated color combination intensely pigmented lip cream wear shade alone blend em together totally customized look
nyx,Full Throttle Lipstick,"It’s the color addict’s ultimate fix and a makeup artist’s dream: Our new waterproof Full Throttle Lipstick covers your lips with super-saturated matte color and features a unique bullet with a beveled edge for lining, filling and perfecting your pout to your heart’s desire.",lipstick,lipstick,color addict ultimate fix makeup artist dream new waterproof full throttle lipstick cover lip super saturated matte color feature unique bullet beveled edge lining filling perfecting pout heart desire
nyx,Plush Gel Lipstick,"Play up your pout with a silky stroke of Plush Gel Lipstick. Available in 12 totally vibrant shades, this lippie brings together an oh-so-soft feel and the high shine of a gloss. Drench lips in a wash of color for an instantly polished look anytime you crave a quick touch-up. Want a bolder finish? (Yes, please!) A second swipe is twice as nice.",lipstick,lipstick,play pout silky stroke plush gel lipstick available totally vibrant shade lippie brings together oh soft feel high shine gloss drench lip wash color instantly polished look anytime crave quick touch want bolder finish yes please second swipe twice nice
nyx,Velvet Matte Lipstick,"Dress your lips in decadent color with our Velvet Matte Lipstick--a luxurious new lip color that glides right on and never feels dry. Housed in an elegant soft-touch case, each standout shade is a fashion statement in itself.",lipstick,lipstick,dress lip decadent color velvet matte lipstick luxurious new lip color glide right never feel dry housed elegant soft touch case standout shade fashion statement
nyx,Turnt Up! Lipstick,"Speak volumes with a bold swipe of Turnt Up! Lipstick. Go as soft or get as loud as you like using our wide range of 22 statement-making shades. From chic nudes to deep vampy hues, these lightweight and creamy lippies glide on effortlessly. Leaving lips with a kiss of shine and high-impact color you can count on for an unforgettable look.",lipstick,lipstick,speak volume bold swipe turnt lipstick go soft get loud like using wide range statement making shade chic nude deep vampy hue lightweight creamy lippies glide effortlessly leaving lip kiss shine high impact color count unforgettable look
nyx,Pin-Up Pout Lipstick,"From polka dots to pointy pumps, nothing compares to the classics. Our personal fave? Ever so creamy lip color, of course! Take yourself back to the signature lip that started it all with our Pin-Up Pout Lipstick. Inspired by the best of vintage beauty, this retro rouge covers lips in extra plush, richly pigmented and absolutely undeniable color. Our throwback lipstick also offers beautiful coverage in an array of 24 swoon-worthy shades.",lipstick,lipstick,polka dot pointy pump nothing compare classic personal fave ever creamy lip color course take back signature lip started pin pout lipstick inspired best vintage beauty retro rouge cover lip extra plush richly pigmented absolutely undeniable color throwback lipstick also offer beautiful coverage array swoon worthy shade
nyx,Super Cliquey Matte Lipstick,,lipstick,lipstick, 
nyx,Powder Puff Lippie Powder Lip Cream,"Pucker up and powder your pout! Featuring a pillowy cushion-applicator, our new Powder Puff Lippie Powder Lip Cream goes on mousse-y and sets to a powdery soft finish. Achieve a flush of color in eight vibrant shades—from warm peach to true red, and hot pink to cool plum—for an irresistible, just-kissed look.",lipstick,lipstick,pucker powder pout featuring pillowy cushion applicator new powder puff lippie powder lip cream go mousse set powdery soft finish achieve flush color eight vibrant shade warm peach true red hot pink cool plum irresistible kissed look
nyx,Lip Lustre Glossy Lip Tint,"Lavish your pout with extraordinary shine and a hint of brilliant color with our new Lip Lustre Glossy Lip Tint! Silky smooth with a lightweight finish, this revolutionary formula glides on a gloss and adjusts to a gorgeous tint that lasts. (Yep, it’s amazing.)",lip_gloss,lipstick,lavish pout extraordinary shine hint brilliant color new lip lustre glossy lip tint silky smooth lightweight finish revolutionary formula glide gloss adjusts gorgeous tint last yep amazing
nyx,Cosmic Metals Lip Cream,"Intense, multidimensional color collides with the glistening effect of gloss for out-of-this world lips like you’ve never seen before. Now available in six more nude-based shades—from champagne gold and pink to a gorgeous deep brown laced with blue shimmer—our creamy-smooth Cosmic Metals Lip Cream covers your lips in lustrous color and a dazzling metallic finish that feels and looks like a gloss.",lip_gloss,lipstick,intense multidimensional color collides glistening effect gloss world lip like never seen available six nude based shade champagne gold pink gorgeous deep brown laced blue shimmer creamy smooth cosmic metal lip cream cover lip lustrous color dazzling metallic finish feel look like gloss
nyx,Epic Ink Lip Dye,"Drench your kiss in knockout color! A stroke of Epic Ink Lip Dye coats lips with a downright dramatic stain. Super-saturated and lightweight, our formula dries to a Matte finish. This stunning lip dye is an absolute makeup bag must-have. Rock it alone for an effortlessly vibrant look. Or give your favorite lippies a boost by wearing it under a similar shade!",lip_gloss,lipstick,drench kiss knockout color stroke epic ink lip dye coat lip downright dramatic stain super saturated lightweight formula dry matte finish stunning lip dye absolute makeup bag must rock alone effortlessly vibrant look give favorite lippies boost wearing similar shade
nyx,Strictly Vinyl Lip Gloss,"Strictly Vinyl Lip Gloss is music to our lips! Available in eight plush and pigment packed shades, this beyond glossy lippie is no one-hit wonder. Hardcore color and intense shine is always just a few swipes away.",lip_gloss,lipstick,strictly vinyl lip gloss music lip available eight plush pigment packed shade beyond glossy lippie one hit wonder hardcore color intense shine always swipe away
nyx,Duo Chromatic Lip Gloss,"Want totally mesmerizing lips? Then chrome and get ’em with our brand-new Duo Chromatic Lip Gloss loaded with pearls. These lippies deliver awesome shine, a hint of color and an intense, 3-D finish. Each lightweight shade slips onto your lips smoothly without feeling sticky. Swipe them on alone or over any lipstick for an unforgettable effect.",lip_gloss,lipstick,want totally mesmerizing lip chrome get em brand new duo chromatic lip gloss loaded pearl lippies deliver awesome shine hint color intense finish lightweight shade slip onto lip smoothly without feeling sticky swipe alone lipstick unforgettable effect
nyx,Slip Tease Full Color Lip Oil,,lip_gloss,lipstick, 
nyx,Liquid Suede Metallic Matte,"Wrap your lips in high-impact metallic color with Liquid Suede Metallic Matte, a striking new lip inspired by our best-selling Liquid Suede Cream Lipstick. Available in 12 statement-making shades, these shockingly creamy lippies deliver instant dimension and incredible color payoff. In other words, get ready to slay.",lipstick,lipstick,wrap lip high impact metallic color liquid suede metallic matte striking new lip inspired best selling liquid suede cream lipstick available statement making shade shockingly creamy lippies deliver instant dimension incredible color payoff word get ready slay
nyx,Liquid Suede Cream Lipstick,"Doll up your lips in plush and vibrant color! Our Liquid Suede Cream Lipstick glides on and sets into a striking matte finish. Now available in 12 more velvety-soft shades, this waterproof lippie creates a positively polished look with every swipe.",lipstick,lipstick,doll lip plush vibrant color liquid suede cream lipstick glide set striking matte finish available velvety soft shade waterproof lippie creates positively polished look every swipe
nyx,Lip Lingerie,"Slip into something seductive with Lip Lingerie, our luxurious liquid lipstick with a plush, Matte finish. Available in the color-kissed hues you know and love—from   nnamon pink and chocolate brown, to warm mahogany red and classic nude beige—plus, 12 brand-new nudes! Each sultry shade will coat the curves of your lips with irresistibly creamy color.",lipstick,lipstick,slip something seductive lip lingerie luxurious liquid lipstick plush matte finish available color kissed hue know love   nnamon pink chocolate brown warm mahogany red classic nude beige plus brand new nude sultry shade coat curve lip irresistibly creamy color
nyx,Soft Matte Lip Cream,"Now available in twelve more statement-making shades, our velvety smooth Soft Matte Lip Cream delivers a burst of creamy color and sets to a stunning matte finish. Surprisingly durable, lightweight and delightfully creamy, it’s no wonder this sweetly scented formula is a fan favorite.",lipstick,lipstick,available twelve statement making shade velvety smooth soft matte lip cream delivers burst creamy color set stunning matte finish surprisingly durable lightweight delightfully creamy wonder sweetly scented formula fan favorite
nyx,Soft Matte Metallic Lip Cream,"Now available in 12 statement-making metallics, our new Soft Matte Metallic Lip Cream shades deliver a burst of pearly color and set to a stunning matte finish. These little beauties are just as lightweight, delightfully creamy and sweetly scented as all the shades you know and love!",liquid,lipstick,available statement making metallic new soft matte metallic lip cream shade deliver burst pearly color set stunning matte finish little beauty lightweight delightfully creamy sweetly scented shade know love
